Trait	nSNP	overall_p	mscomp	ratio_coveredSNP
NT3_Hoglund_31727947_1	5396	0.0480612341545904	PC19 (5e-03)	0.977713353868454
NTPROBNP_Folkersen_33067605_1	5192	0.917092172438963	PC17 (3e-02)	0.940750135894184
OPG_Folkersen_33067605_1	5491	0.394148650020105	PC3 (1e-02)	0.994926617140786
OPG_Hoglund_31727947_1	5413	0.826981231077293	PC6 (1e-02)	0.980793622032977
OPG_Hoglund_31727947_2	5439	0.768555909584601	PC26 (8e-02)	0.985504620402247
OSM_Hoglund_31727947_1	5410	0.601283012991245	PC28 (2e-02)	0.980250045298061
PAPPA_Folkersen_33067605_1	5490	1.16781519543994e-05	PC7 (1e-04)	0.994745424895814
PAR1_Folkersen_33067605_1	5491	2.10373894564808e-10	PC35 (2e-05)	0.994926617140786
PBC_Cordell_26394269_1	922	8.80007916862226e-06	PC23 (1e-03)	0.167059249864106
PDGFb_Folkersen_33067605_1	5491	8.89108190416575e-20	PC18 (1e-12)	0.994926617140786
PDGFbb_AholaOlli_27989323_1	5013	0.0173950312338855	PC32 (5e-03)	0.908316724044211
PDL1_Hoglund_31727947_1	5223	0.919650688909753	PC8 (5e-02)	0.946367095488313
PECAM1_Folkersen_33067605_1	5491	3.41297895488289e-50	PC27 (6e-09)	0.994926617140786
PGF_Folkersen_33067605_1	5491	0.0969470213034574	PC33 (1e-02)	0.994926617140786
PRL_Folkersen_33067605_1	5299	0.38398786106895	PC34 (2e-02)	0.960137706106179
PSC_Ji_27992413_1	4353	0.00107997140795028	PC7 (3e-05)	0.788729842362747
PSGL1_Folkersen_33067605_1	5490	0.000701207231734632	PC19 (2e-04)	0.994745424895814
PTEX3_Folkersen_33067605_1	5486	0.0126386433708775	PC20 (1e-03)	0.994020655915927
RA_Okada_24390342_1	4385	5.55518470550001e-07	PC19 (3e-04)	0.794527994201848
RAGE_Folkersen_33067605_1	5491	0.00452833695386216	PC25 (2e-03)	0.994926617140786
RANTES_AholaOlli_27989323_1	4961	0.106627225386618	PC27 (4e-04)	0.898894727305671
REN_Folkersen_33067605_1	5491	0.1785648726702	PC1 (5e-03)	0.994926617140786
RETN_Folkersen_33067605_1	5491	0.00767395391675399	PC1 (7e-03)	0.994926617140786
SCF_AholaOlli_27989323_1	5016	0.000119883206222885	PC37 (4e-05)	0.908860300779127
SCF_Folkersen_33067605_1	5491	0.0296649814656502	PC27 (1e-02)	0.994926617140786
SCF_Hoglund_31727947_1	5411	0.315077813353974	PC4 (8e-03)	0.980431237543033
SCF_Hoglund_31727947_2	5439	0.418509979575003	PC4 (2e-03)	0.985504620402247
SCGFb_AholaOlli_27989323_1	4965	0.519028797387443	PC14 (9e-02)	0.899619496285559
SCYB16_Folkersen_33067605_1	5491	3.25450097170603e-09	PC10 (7e-06)	0.994926617140786
SDF1a_AholaOlli_27989323_1	5003	0.079273662253707	PC18 (4e-03)	0.906504801594492
SIRT2_Folkersen_33067605_1	5480	0.00723645369976278	PC35 (6e-03)	0.992933502446095
SIRT2_Hoglund_31727947_1	5413	0.0504661404675208	PC25 (3e-03)	0.980793622032977
SIRT2_Hoglund_31727947_2	5427	0.244139085342926	PC13 (1e-02)	0.983330313462584
SLAMF1_Hoglund_31727947_1	5406	0.384394545759947	PC27 (3e-02)	0.979525276318174
SLE_Julia_29848360_1	4080	1.64126059975145e-07	PC23 (8e-08)	0.739264359485414
SPON1_Folkersen_33067605_1	5408	0.00456383819343356	PC21 (2e-03)	0.979887660808117
SRC_Folkersen_33067605_1	5491	0.101819802730467	PC35 (2e-04)	0.994926617140786
ST2_Folkersen_33067605_1	5482	0.122862130468495	PC1 (4e-02)	0.993295886936039
STAMBP_Hoglund_31727947_1	5413	0.218532507035819	PC25 (6e-02)	0.980793622032977
SULT1A1_Hoglund_31727947_1	5403	0.485482016251411	PC19 (2e-02)	0.978981699583258
T1D_Chiou_34012112_1	5501	1.98801390001849e-61	PC9 (6e-16)	0.996738539590506
TF_Folkersen_33067605_1	5491	7.64072074163648e-75	PC40 (4e-13)	0.994926617140786
TGFa_Hoglund_31727947_1	5411	0.162776625904292	PC27 (1e-04)	0.980431237543033
TGFa_Hoglund_31727947_2	5296	0.186172939191962	PC33 (3e-02)	0.959594129371263
TGFb1_Hoglund_31727947_1	5413	0.550713702549014	PC15 (5e-03)	0.980793622032977
TGFb1_Hoglund_31727947_2	5439	0.606294341758213	PC15 (4e-02)	0.985504620402247
TIE2_Folkersen_33067605_1	5491	0.00071633192515341	PC3 (6e-03)	0.994926617140786
TM_Folkersen_33067605_1	5491	0.0560805490948365	PC25 (4e-02)	0.994926617140786
TNFa_AholaOlli_27989323_1	4949	0.393897322811918	PC24 (3e-03)	0.896720420366008
TNFb_AholaOlli_27989323_1	3763	0.170157274517491	PC25 (3e-03)	0.681826417829317
TNFb_Hoglund_31727947_1	5413	0.0230778928142996	PC21 (7e-03)	0.980793622032977
TNFR1_Folkersen_33067605_1	5491	0.0240050770478558	PC14 (2e-03)	0.994926617140786
TNFR2_Folkersen_33067605_1	5491	4.06082992738641e-07	PC14 (8e-07)	0.994926617140786
TNFRSF9_Hoglund_31727947_1	5413	0.642178299419565	PC6 (6e-03)	0.980793622032977
TNFSF14_Folkersen_33067605_1	5480	1.21312819385956e-06	PC30 (3e-04)	0.992933502446095
TNFSF14_Hoglund_31727947_1	5411	0.240275082875551	PC28 (2e-03)	0.980431237543033
TNFSF14_Hoglund_31727947_2	5375	0.502748616088788	PC40 (1e-02)	0.973908316724044
TPA_Folkersen_33067605_1	5491	0.14758382577374	PC39 (3e-02)	0.994926617140786
TRAIL_AholaOlli_27989323_1	5023	0.0307951409046166	PC38 (1e-02)	0.91012864649393
TRAIL_Folkersen_33067605_1	5470	0.62668960448814	PC34 (3e-02)	0.991121579996376
TRAIL_Hoglund_31727947_1	5439	0.982594120853845	PC38 (2e-01)	0.985504620402247
TRAILR2_Folkersen_33067605_1	5491	0.061954696501278	PC14 (3e-03)	0.994926617140786
TRANCE_Folkersen_33067605_1	5483	0.0374353590336151	PC19 (2e-03)	0.993477079181011
TRANCE_Hoglund_31727947_1	5413	0.854863057083035	PC6 (3e-03)	0.980793622032977
TRANCE_Hoglund_31727947_2	5439	0.664144437968924	PC14 (2e-02)	0.985504620402247
TWEAK_Hoglund_31727947_1	5413	0.00191298949088723	PC17 (3e-02)	0.980793622032977
UC_DeLange_28067908_1	5189	0.0032204939387448	PC19 (8e-05)	0.940206559159268
UPA_Hoglund_31727947_1	5413	0.444337392418356	PC38 (1e-03)	0.980793622032977
UPAR_Folkersen_33067605_1	5491	0.002413979226724	PC1 (7e-03)	0.994926617140786
VEGF_AholaOlli_27989323_1	5016	1.47833680212693e-05	PC18 (4e-05)	0.908860300779127
VEGF_Folkersen_33067605_1	5483	5.59125367457951e-30	PC18 (9e-22)	0.993477079181011
VEGFA_Hoglund_31727947_1	5411	0.0384199320348816	PC19 (3e-03)	0.980431237543033
VEGFA_Hoglund_31727947_2	5439	0.418185153995236	PC30 (1e-02)	0.985504620402247
VEGFD_Folkersen_33067605_1	5491	0.770919642376147	PC36 (3e-02)	0.994926617140786
